Abu Dhabi,uaecentral
Amsterdam,westeurope
Amsterdam2,westeurope
Berlin,germanynorth
Busan,koreasouth
Campinas,brazilsouth
Canberra,australiacentral
Canberra2,australiacentral2
Cape Town,southafricawest
Chennai,southindia
Chennai2,southindia
Chicago,northcentralus
Chicago2,northcentralus
Denver,westcentralus
Doha,qatarcentral
Doha2,qatarcentral
Dubai,uaenorth
Dubai2,uaenorth
Dublin,northeurope
Dublin2,northeurope
Frankfurt,germanywestcentral
Frankfurt2,germanywestcentral
Geneva,switzerlandwest
Hong Kong,eastasia
Hong Kong2,eastasia
Johannesburg,southafricanorth
London,uksouth
London2,uksouth
Madrid,westeurope
Marseille,francesouth
Melbourne,australiasoutheast
Mumbai,westindia
Mumbai2,westindia
Newport(Wales),ukwest
Osaka,japanwest
Oslo,norwayeast
Paris,francecentral
Paris2,francecentral
Phoenix,westus3
Portland,westus2
Pune,centralindia
Quebec City,canadaeast
Quincy,westus2
Rio de Janeiro,brazilsoutheast
San Antonio,southcentralus
Sao Paulo,brazilsouth
Sao Paulo2,brazilsouth
Seattle,westus2
Seoul,koreacentral
Seoul2,koreacentral
Silicon Valley,westus
Silicon Valley2,westus
Singapore,southeastasia
Singapore2,southeastasia
Stavanger,norwaywest
Stockholm,swedencentral
Sidney,australiaeast
Sidney2,australiaeast
Tokyo,japaneast
Tokyo2,japaneast
Tokyo3,japaneast
Toronto,canadacentral
Toronto2,canadacentral
Washington DC,eastus eastus2
Washington DC2,eastus eastus2
Zurich,switzerlandnorth
