en	es
network plugin	plugin de red
CNI plugin	plugin CNI
namespace	namespace
API endpoint	punto de acceso de la API
web-based applications	aplicaciones web
app	aplicación
network policies	network policies
service mesh	service mesh
Azure Key Vault	Azure Key Vault
Azure Policy for Kubernetes	Azure Policy para Kubernetes
IPs	direcciones IP
